StationName;BitRate;StationUrl;StationFav
RauteMusik #MUSIK.BIGCITYBEATS;192;http://BCB-high.RauteMusik.FM;False
RauteMusik #Musik.DeutschRap;192;http://Deutschrap-high.RauteMusik.FM;False
RauteMusik #MUSIK.DRUMSTEP;192;http://DrumStep-high.RauteMusik.FM;False
RauteMusik #MUSIK.HARDER;192;http://HardeR-high.RauteMusik.FM;False
RauteMusik #MUSIK.HOUSE;192;http://House-high.RauteMusik.FM;False
RauteMusik #MUSIK.ORIENTAL;192;http://Oriental-high.RauteMusik.FM;False
RauteMusik #MUSIK.TECHHOUSE;192;http://Progressive-high.RauteMusik.FM;False
RauteMusik #MUSIK.TRANCE;192;http://Trance-high.RauteMusik.FM;False
Rheinwelle;128;http://s2.onlinestream.de:6640;False
Rockantenne;128;http://mp3.webradio.rockantenne.de:80;False
Rockland Radio;192;http://188.94.97.90/rockland.mp3;False
RundFunk Meissner;128;http://s8.pop-stream.de:8650;False
Russian Radio;128;http://play.russian-radio.de:8000;False
Schwarzwaldradio;128;http://str31.creacast.com/hitradio_ohr_thema1;False
SimLiveRadio;128;http://stream.laut.fm/simliveradio;False
Simulator Radio;128;http://stream.simulatorradio.com:8002/stream.mp3;False
simulatorONE;128;http://stream.laut.fm/simulator1;False
SR 1 Live ;128;http://sr1m.akacast.akamaistream.net/7/725/142685/v1/gnl.akacast.akamaistream.net/sr1m;False
SR 103.7 Unserding;128;http://udm.akacast.akamaistream.net/7/384/142688/v1/gnl.akacast.akamaistream.net/udm;False
SR 2 Kulturradio;128;http://sr2m.akacast.akamaistream.net/7/375/142686/v1/gnl.akacast.akamaistream.net/sr2m;False
SR 3 Saarlandwelle;128;http://sr3m.akacast.akamaistream.net/7/722/142687/v1/gnl.akacast.akamaistream.net/sr3m;False
StadtRadio Goettingen;128;http://stream.stadtradio-goettingen.de:8000/stadtradio.mp3;False
Sunshine Live 2000er;128;http://stream.sunshine-live.de/2000er/mp3-192/stream.sunshine-live.de/play.m3u;False
Sunshine Live;128;http://stream.sunshine-live.de/live/mp3-192/stream.sunshine-live.de/play.m3u;False
SWR1;128;http://mp3-live.swr.de/swr1rp_s.m3u;False
SWR2;128;http://mp3-live.swr.de/swr2_s.m3u;False
SWR2;128;http://mp3-live.swr.de/swr2_s.m3u;False
SWR3;128;http://mp3-live.swr3.de/swr3_s.m3u;False
SWR4;128;http://mp3-live.swr.de/swr4rp_s.m3u;False
TechLiveRadio;128;http://stream.laut.fm/techliveradio;False
TechnoBase.FM;192;http://dsl.tb-stream.net:80;False
TranceBase.FM;192;http://mp3.trb-stream.net;False
TruckersFM;128;http://radio.truckers.fm;False
TruckSimFM;128;http://radio.trucksim.fm:8000/stream;False
UZIC - Techno Minimal;128;http://stream.uzic.ch:9010;False
WDR 1 Live;128;http://www.wdr.de/wdrlive/media/einslive.m3u;False
WDR 2;128;http://www.wdr.de/wdrlive/media/wdr2.m3u;False
WDR 3;128;http://www.wdr.de/wdrlive/media/wdr3.m3u;False
WDR 4 Media;128;http://www.wdr.de/wdrlive/media/wdr4.m3u;False
WDR 5;128;http://www.wdr.de/wdrlive/media/wdr5.m3u;False
Wunschradio.fm;128;http://stream.wunschradio.de/wunschradio/livestream.mp3;False
